index_global,book,lesson,index_in_book,char,unicode,pinyin,status,notes,voice_asset
522,6,58,81,远,U+8FDC,yuǎn,ok,,voice/b6_081_8FDC.pcm
523,6,58,82,经,U+7ECF,jīng,ok,,voice/b6_082_7ECF.pcm
524,6,58,83,旁,U+65C1,páng,ok,,voice/b6_083_65C1.pcm
525,6,58,84,婶,U+5A76,shěn,ok,,voice/b6_084_5A76.pcm
526,6,58,85,呵,U+5475,hē,ok,,voice/b6_085_5475.pcm
527,6,58,86,稀,U+7A00,xī,ok,,voice/b6_086_7A00.pcm
528,6,58,87,奇,U+5947,qí,ok,,voice/b6_087_5947.pcm
529,6,59,88,祝,U+795D,zhù,ok,,voice/b6_088_795D.pcm
530,6,59,89,贺,U+8D3A,hè,ok,,voice/b6_089_8D3A.pcm
531,6,59,90,哟,U+54DF,yō,ok,,voice/b6_090_54DF.pcm
532,6,59,91,脑,U+8111,nǎo,ok,,voice/b6_091_8111.pcm
533,6,59,92,呆,U+5446,dāi,ok,,voice/b6_092_5446.pcm
534,6,59,93,床,U+5E8A,chuáng,ok,,voice/b6_093_5E8A.pcm
535,6,59,94,闹,U+95F9,nào,ok,,voice/b6_094_95F9.pcm
536,6,59,95,钟,U+949F,zhōng,ok,,voice/b6_095_949F.pcm
537,6,59,96,拨,U+62E8,bō,ok,,voice/b6_096_62E8.pcm
538,6,59,97,准,U+51C6,zhǔn,ok,,voice/b6_097_51C6.pcm
539,6,59,98,备,U+5907,bèi,ok,,voice/b6_098_5907.pcm
540,6,60,99,其,U+5176,qí,ok,,voice/b6_099_5176.pcm
541,6,60,100,实,U+5B9E,shí,ok,,voice/b6_100_5B9E.pcm
542,6,60,101,轻,U+8F7B,qīng,ok,,voice/b6_101_8F7B.pcm
543,6,60,102,响,U+54CD,xiǎng,ok,,voice/b6_102_54CD.pcm
544,6,60,103,迟,U+8FDF,chí,ok,,voice/b6_103_8FDF.pcm
545,6,60,104,已,U+5DF2,yǐ,ok,,voice/b6_104_5DF2.pcm
546,6,60,105,叠,U+53E0,dié,ok,,voice/b6_105_53E0.pcm
547,6,60,106,包,U+5305,bāo,ok,,voice/b6_106_5305.pcm
548,6,60,107,碗,U+7897,wǎn,ok,,voice/b6_107_7897.pcm
549,6,60,108,写,U+5199,xiě,ok,,voice/b6_108_5199.pcm
550,6,60,109,冒,U+5192,mào,ok,,voice/b6_109_5192.pcm
551,6,60,110,您,U+60A8,nín,ok,,voice/b6_110_60A8.pcm
552,6,60,111,了,U+4E86,le,reintroduced,also in book 2 #43,voice/b6_111_4E86.pcm
